update,prey_seen,prey_consumed,predator_vision,predator_vision_height,predator_vision_width,attack_efficiency,predator_fitness
0,0,0,0,0,0,0,0
1,1,0,9,1,9,0,0
2,2,0,9,1,9,0,0
3,3,0,9,1,9,0,0
4,6,0,9,1,9,0,0
5,7,0,9,1,9,0,0
6,8,0,9,1,9,0,0
7,11,0,9,1,9,0,0
8,13,0,9,1,9,0,0
9,13,0,9,1,9,0,0
10,13,0,9,1,9,0,0
11,13,0,9,1,9,0,0
12,13,0,9,1,9,0,0
13,13,0,9,1,9,0,0
14,15,0,9,1,9,0,0
15,17,0,9,1,9,0,0
16,17,0,9,1,9,0,0
17,17,0,9,1,9,0,0
18,19,0,9,1,9,0,0
19,20,0,9,1,9,0,0
20,21,0,9,1,9,0,0
21,22,1,9,1,9,0,0
22,22,1,9,1,9,0,0
23,23,1,9,1,9,0,0
24,23,1,9,1,9,0,0
25,24,1,9,1,9,0,0
26,25,1,9,1,9,0,0
27,25,1,9,1,9,0,0
28,27,1,9,1,9,0,0
29,28,1,9,1,9,0,0
30,30,1,9,1,9,0,0
31,30,1,9,1,9,0,0
32,30,1,9,1,9,0,0
33,31,1,9,1,9,0,0
34,32,1,9,1,9,0,0
35,32,1,9,1,9,0,0
36,33,1,9,1,9,0,0
37,35,1,9,1,9,0,0
38,37,1,9,1,9,0,0
39,38,1,9,1,9,0,0
40,38,1,9,1,9,0,0
41,39,1,9,1,9,0,0
42,40,1,9,1,9,0,0
43,40,1,9,1,9,0,0
44,40,1,9,1,9,0,0
45,41,1,9,1,9,0,0
46,42,1,9,1,9,0,0
47,43,1,9,1,9,0,0
48,43,1,9,1,9,0,0
49,45,1,9,1,9,0,0
50,45,1,9,1,9,0,0
51,45,1,9,1,9,0,0
52,46,1,9,1,9,0,0
53,46,1,9,1,9,0,0
54,47,1,9,1,9,0,0
55,49,1,9,1,9,0,0
56,50,1,9,1,9,0,0
57,53,1,9,1,9,0,0
58,53,1,9,1,9,0,0
59,54,1,9,1,9,0,0
60,56,1,9,1,9,0,0
61,57,2,9,1,9,0,0
62,57,2,9,1,9,0,0
63,57,2,9,1,9,0,0
64,57,2,9,1,9,0,0
65,57,2,9,1,9,0,0
66,57,2,9,1,9,0,0
67,57,2,9,1,9,0,0
68,58,2,9,1,9,0,0
69,60,2,9,1,9,0,0
70,60,2,9,1,9,0,0
71,60,2,9,1,9,0,0
72,60,2,9,1,9,0,0
73,60,2,9,1,9,0,0
74,60,2,9,1,9,0,0
75,60,2,9,1,9,0,0
76,61,2,9,1,9,0,0
77,61,2,9,1,9,0,0
78,62,2,9,1,9,0,0
79,63,2,9,1,9,0,0
80,64,2,9,1,9,0,0
81,66,3,9,1,9,0,0
82,67,3,9,1,9,0,0
83,67,3,9,1,9,0,0
84,68,3,9,1,9,0,0
85,69,3,9,1,9,0,0
86,71,3,9,1,9,0,0
87,71,3,9,1,9,0,0
88,72,3,9,1,9,0,0
89,73,3,9,1,9,0,0
90,75,3,9,1,9,0,0
91,75,3,9,1,9,0,0
92,75,3,9,1,9,0,0
93,75,3,9,1,9,0,0
94,76,3,9,1,9,0,0
95,77,3,9,1,9,0,0
96,78,3,9,1,9,0,0
97,79,3,9,1,9,0,0
98,79,3,9,1,9,0,0
99,80,3,9,1,9,0,0
100,80,3,9,1,9,0,0
101,80,3,9,1,9,0,0
102,81,3,9,1,9,0,0
103,82,3,9,1,9,0,0
104,82,3,9,1,9,0,0
105,82,3,9,1,9,0,0
106,82,3,9,1,9,0,0
107,82,3,9,1,9,0,0
108,82,3,9,1,9,0,0
109,82,3,9,1,9,0,0
110,82,3,9,1,9,0,0
111,82,3,9,1,9,0,0
112,82,3,9,1,9,0,0
113,82,3,9,1,9,0,0
114,83,3,9,1,9,0,0
115,83,3,9,1,9,0,0
116,84,3,9,1,9,0,0
117,85,3,9,1,9,0,0
118,86,3,9,1,9,0,0
119,88,3,9,1,9,0,0
120,89,3,9,1,9,0,0
121,89,3,9,1,9,0,0
122,90,3,9,1,9,0,0
123,90,3,9,1,9,0,0
124,90,3,9,1,9,0,0
125,90,3,9,1,9,0,0
126,90,3,9,1,9,0,0
127,91,3,9,1,9,0,0
128,92,3,9,1,9,0,0
129,93,3,9,1,9,0,0
130,93,3,9,1,9,0,0
131,93,3,9,1,9,0,0
132,94,3,9,1,9,0,0
133,95,3,9,1,9,0,0
134,95,3,9,1,9,0,0
135,95,3,9,1,9,0,0
136,96,3,9,1,9,0,0
137,96,3,9,1,9,0,0
138,97,3,9,1,9,0,0
139,97,3,9,1,9,0,0
140,99,3,9,1,9,0,0
141,101,4,9,1,9,0,0
142,102,4,9,1,9,0,0
143,102,4,9,1,9,0,0
144,103,4,9,1,9,0,0
145,105,4,9,1,9,0,0
146,106,4,9,1,9,0,0
147,106,4,9,1,9,0,0
148,108,4,9,1,9,0,0
149,108,4,9,1,9,0,0
150,109,4,9,1,9,0,1828
151,109,4,9,1,9,0,1828
152,110,4,9,1,9,0,1828
153,111,4,9,1,9,0,1828
154,111,4,9,1,9,0,1828
