update,prey_seen,prey_consumed,predator_vision,predator_vision_height,predator_vision_width,attack_efficiency,predator_fitness
0,0,0,0,0,0,0,0
1,2,0,19,7,7,0,0
2,4,0,19,7,7,0,0
3,6,0,19,7,7,0,0
4,9,0,19,7,7,0,0
5,10,0,19,7,7,0,0
6,12,0,19,7,7,0,0
7,13,0,19,7,7,0,0
8,13,0,19,7,7,0,0
9,15,0,19,7,7,0,0
10,15,0,19,7,7,0,0
11,18,1,19,7,7,0,0
12,18,1,19,7,7,0,0
13,18,1,19,7,7,0,0
14,20,1,19,7,7,0,0
15,21,1,19,7,7,0,0
16,24,1,19,7,7,0,0
17,27,1,19,7,7,0,0
18,28,1,19,7,7,0,0
19,32,1,19,7,7,0,0
20,41,1,19,7,7,0,0
21,43,1,19,7,7,0,0
22,48,1,19,7,7,0,0
23,52,1,19,7,7,0,0
24,55,1,19,7,7,0,0
25,57,1,19,7,7,0,0
26,59,1,19,7,7,0,0
27,60,1,19,7,7,0,0
28,63,1,19,7,7,0,0
29,63,1,19,7,7,0,0
30,63,1,19,7,7,0,0
31,65,2,19,7,7,0,0
32,66,2,19,7,7,0,0
33,69,2,19,7,7,0,0
34,70,2,19,7,7,0,0
35,75,2,19,7,7,0,0
36,80,2,19,7,7,0,0
37,83,2,19,7,7,0,0
38,86,2,19,7,7,0,0
39,88,2,19,7,7,0,0
40,91,2,19,7,7,0,0
41,94,3,19,7,7,0,0
42,99,3,19,7,7,0,0
43,100,3,19,7,7,0,0
44,100,3,19,7,7,0,0
45,103,3,19,7,7,0,0
46,106,3,19,7,7,0,0
47,106,3,19,7,7,0,0
48,108,3,19,7,7,0,0
49,109,3,19,7,7,0,0
50,111,3,19,7,7,0,0
51,111,3,19,7,7,0,0
52,112,3,19,7,7,0,0
53,113,3,19,7,7,0,0
54,116,3,19,7,7,0,0
55,118,3,19,7,7,0,0
56,118,3,19,7,7,0,0
57,118,3,19,7,7,0,0
58,121,3,19,7,7,0,0
59,123,3,19,7,7,0,0
60,126,3,19,7,7,0,0
61,129,4,19,7,7,0,0
62,129,4,19,7,7,0,0
63,129,4,19,7,7,0,0
64,130,4,19,7,7,0,0
65,135,4,19,7,7,0,0
66,137,4,19,7,7,0,0
67,139,4,19,7,7,0,0
68,142,4,19,7,7,0,0
69,146,4,19,7,7,0,0
70,146,4,19,7,7,0,0
71,147,5,19,7,7,0,0
72,148,5,19,7,7,0,0
73,150,5,19,7,7,0,0
74,156,5,19,7,7,0,0
75,158,5,19,7,7,0,0
76,159,5,19,7,7,0,0
77,165,5,19,7,7,0,0
78,166,5,19,7,7,0,0
79,166,5,19,7,7,0,0
80,166,5,19,7,7,0,0
81,166,5,19,7,7,0,0
82,166,5,19,7,7,0,0
83,166,5,19,7,7,0,0
84,167,5,19,7,7,0,0
85,168,5,19,7,7,0,0
86,169,5,19,7,7,0,0
87,170,5,19,7,7,0,0
88,170,5,19,7,7,0,0
89,174,5,19,7,7,0,0
90,176,5,19,7,7,0,0
91,178,6,19,7,7,0,0
92,178,6,19,7,7,0,0
93,179,6,19,7,7,0,0
94,180,6,19,7,7,0,0
95,180,6,19,7,7,0,0
96,181,6,19,7,7,0,0
97,181,6,19,7,7,0,0
98,182,6,19,7,7,0,0
99,184,6,19,7,7,0,0
100,185,6,19,7,7,0,0
101,188,6,19,7,7,0,0
102,195,6,19,7,7,0,0
103,199,6,19,7,7,0,0
104,203,6,19,7,7,0,0
105,205,6,19,7,7,0,0
106,207,6,19,7,7,0,0
107,210,6,19,7,7,0,0
108,212,6,19,7,7,0,0
109,216,6,19,7,7,0,0
110,218,6,19,7,7,0,0
111,226,6,19,7,7,0,0
112,227,6,19,7,7,0,0
113,227,6,19,7,7,0,0
114,227,6,19,7,7,0,0
115,227,6,19,7,7,0,0
116,228,6,19,7,7,0,0
117,230,6,19,7,7,0,0
118,231,6,19,7,7,0,0
119,232,6,19,7,7,0,0
120,234,6,19,7,7,0,0
121,234,6,19,7,7,0,0
122,239,6,19,7,7,0,0
123,240,6,19,7,7,0,0
124,241,6,19,7,7,0,0
125,249,6,19,7,7,0,0
126,250,6,19,7,7,0,0
127,252,6,19,7,7,0,0
128,256,6,19,7,7,0,0
129,256,6,19,7,7,0,0
130,257,6,19,7,7,0,0
131,258,7,19,7,7,0,0
132,259,7,19,7,7,0,0
133,263,7,19,7,7,0,0
134,265,7,19,7,7,0,0
135,266,7,19,7,7,0,0
136,267,7,19,7,7,0,0
137,270,7,19,7,7,0,0
138,273,7,19,7,7,0,0
139,277,7,19,7,7,0,0
140,282,7,19,7,7,0,0
141,285,7,19,7,7,0,0
142,292,7,19,7,7,0,0
143,297,7,19,7,7,0,0
144,298,7,19,7,7,0,0
145,302,7,19,7,7,0,0
146,305,7,19,7,7,0,0
147,305,7,19,7,7,0,0
148,306,7,19,7,7,0,0
149,308,7,19,7,7,0,0
150,309,7,19,7,7,0,834
151,310,8,19,7,7,0,834
152,314,8,19,7,7,0,834
153,316,8,19,7,7,0,834
154,318,8,19,7,7,0,834
