update,prey_seen,prey_consumed,predator_vision,predator_vision_height,predator_vision_width,attack_efficiency,predator_fitness
0,0,0,0,0,0,0,0
1,6,0,45,3,17,0,0
2,11,0,45,3,17,0,0
3,19,0,45,3,17,0,0
4,22,0,45,3,17,0,0
5,24,0,45,3,17,0,0
6,34,0,45,3,17,0,0
7,45,0,45,3,17,0,0
8,47,0,45,3,17,0,0
9,51,0,45,3,17,0,0
10,64,0,45,3,17,0,0
11,73,0,45,3,17,0,0
12,76,0,45,3,17,0,0
13,81,0,45,3,17,0,0
14,82,0,45,3,17,0,0
15,87,0,45,3,17,0,0
16,93,0,45,3,17,0,0
17,97,0,45,3,17,0,0
18,99,0,45,3,17,0,0
19,101,0,45,3,17,0,0
20,106,0,45,3,17,0,0
21,109,0,45,3,17,0,0
22,113,0,45,3,17,0,0
23,115,0,45,3,17,0,0
24,119,0,45,3,17,0,0
25,128,0,45,3,17,0,0
26,140,0,45,3,17,0,0
27,144,0,45,3,17,0,0
28,147,0,45,3,17,0,0
29,149,0,45,3,17,0,0
30,152,0,45,3,17,0,0
31,153,1,45,3,17,0,0
32,154,1,45,3,17,0,0
33,160,1,45,3,17,0,0
34,162,1,45,3,17,0,0
35,165,1,45,3,17,0,0
36,168,1,45,3,17,0,0
37,170,1,45,3,17,0,0
38,176,1,45,3,17,0,0
39,178,1,45,3,17,0,0
40,181,1,45,3,17,0,0
41,184,1,45,3,17,0,0
42,188,1,45,3,17,0,0
43,193,1,45,3,17,0,0
44,200,1,45,3,17,0,0
45,204,1,45,3,17,0,0
46,208,1,45,3,17,0,0
47,214,1,45,3,17,0,0
48,219,1,45,3,17,0,0
49,222,1,45,3,17,0,0
50,229,1,45,3,17,0,0
51,232,2,45,3,17,0,0
52,234,2,45,3,17,0,0
53,239,2,45,3,17,0,0
54,239,2,45,3,17,0,0
55,242,2,45,3,17,0,0
56,245,2,45,3,17,0,0
57,251,2,45,3,17,0,0
58,255,2,45,3,17,0,0
59,261,2,45,3,17,0,0
60,268,2,45,3,17,0,0
61,272,2,45,3,17,0,0
62,274,2,45,3,17,0,0
63,278,2,45,3,17,0,0
64,281,2,45,3,17,0,0
65,284,2,45,3,17,0,0
66,287,2,45,3,17,0,0
67,291,2,45,3,17,0,0
68,295,2,45,3,17,0,0
69,300,2,45,3,17,0,0
70,302,2,45,3,17,0,0
71,305,3,45,3,17,0,0
72,307,3,45,3,17,0,0
73,308,3,45,3,17,0,0
74,309,3,45,3,17,0,0
75,311,3,45,3,17,0,0
76,314,3,45,3,17,0,0
77,320,3,45,3,17,0,0
78,323,3,45,3,17,0,0
79,326,3,45,3,17,0,0
80,335,3,45,3,17,0,0
81,337,3,45,3,17,0,0
82,339,3,45,3,17,0,0
83,343,3,45,3,17,0,0
84,349,3,45,3,17,0,0
85,355,3,45,3,17,0,0
86,357,3,45,3,17,0,0
87,362,3,45,3,17,0,0
88,368,3,45,3,17,0,0
89,372,3,45,3,17,0,0
90,374,3,45,3,17,0,0
91,375,4,45,3,17,0,0
92,377,4,45,3,17,0,0
93,380,4,45,3,17,0,0
94,384,4,45,3,17,0,0
95,385,4,45,3,17,0,0
96,388,4,45,3,17,0,0
97,395,4,45,3,17,0,0
98,398,4,45,3,17,0,0
99,405,4,45,3,17,0,0
100,407,4,45,3,17,0,0
101,419,4,45,3,17,0,0
102,423,4,45,3,17,0,0
103,428,4,45,3,17,0,0
104,435,4,45,3,17,0,0
105,443,4,45,3,17,0,0
106,447,4,45,3,17,0,0
107,452,4,45,3,17,0,0
108,456,4,45,3,17,0,0
109,460,4,45,3,17,0,0
110,462,4,45,3,17,0,0
111,464,5,45,3,17,0,0
112,466,5,45,3,17,0,0
113,467,5,45,3,17,0,0
114,468,5,45,3,17,0,0
115,470,5,45,3,17,0,0
116,473,5,45,3,17,0,0
117,475,5,45,3,17,0,0
118,483,5,45,3,17,0,0
119,495,5,45,3,17,0,0
120,498,5,45,3,17,0,0
121,501,5,45,3,17,0,0
122,511,5,45,3,17,0,0
123,513,5,45,3,17,0,0
124,516,5,45,3,17,0,0
125,522,5,45,3,17,0,0
126,524,5,45,3,17,0,0
127,524,5,45,3,17,0,0
128,530,5,45,3,17,0,0
129,533,5,45,3,17,0,0
130,544,5,45,3,17,0,0
131,546,5,45,3,17,0,0
132,551,5,45,3,17,0,0
133,554,5,45,3,17,0,0
134,559,5,45,3,17,0,0
135,562,5,45,3,17,0,0
136,562,5,45,3,17,0,0
137,563,5,45,3,17,0,0
138,564,5,45,3,17,0,0
139,566,5,45,3,17,0,0
140,572,5,45,3,17,0,0
141,576,6,45,3,17,0,0
142,578,6,45,3,17,0,0
143,580,6,45,3,17,0,0
144,582,6,45,3,17,0,0
145,588,6,45,3,17,0,0
146,595,6,45,3,17,0,0
147,601,6,45,3,17,0,0
148,603,6,45,3,17,0,0
149,606,6,45,3,17,0,0
150,608,6,45,3,17,0,657
151,615,6,45,3,17,0,657
152,623,6,45,3,17,0,657
153,625,6,45,3,17,0,657
154,631,6,45,3,17,0,657
