update,prey_seen,prey_consumed,predator_vision,predator_vision_height,predator_vision_width,attack_efficiency,predator_fitness
0,0,0,0,0,0,0,0
1,11,0,60,6,15,0,0
2,33,0,60,6,15,0,0
3,37,0,60,6,15,0,0
4,41,0,60,6,15,0,0
5,46,0,60,6,15,0,0
6,51,0,60,6,15,0,0
7,56,0,60,6,15,0,0
8,63,0,60,6,15,0,0
9,69,0,60,6,15,0,0
10,78,0,60,6,15,0,0
11,82,0,60,6,15,0,0
12,93,0,60,6,15,0,0
13,101,0,60,6,15,0,0
14,104,0,60,6,15,0,0
15,115,0,60,6,15,0,0
16,118,0,60,6,15,0,0
17,124,0,60,6,15,0,0
18,135,0,60,6,15,0,0
19,140,0,60,6,15,0,0
20,146,0,60,6,15,0,0
21,156,0,60,6,15,0,0
22,162,0,60,6,15,0,0
23,179,0,60,6,15,0,0
24,185,0,60,6,15,0,0
25,199,0,60,6,15,0,0
26,204,0,60,6,15,0,0
27,207,0,60,6,15,0,0
28,218,0,60,6,15,0,0
29,220,0,60,6,15,0,0
30,226,0,60,6,15,0,0
31,230,1,60,6,15,0,0
32,231,1,60,6,15,0,0
33,244,1,60,6,15,0,0
34,249,1,60,6,15,0,0
35,251,1,60,6,15,0,0
36,252,1,60,6,15,0,0
37,254,1,60,6,15,0,0
38,259,1,60,6,15,0,0
39,266,1,60,6,15,0,0
40,274,1,60,6,15,0,0
41,279,1,60,6,15,0,0
42,285,1,60,6,15,0,0
43,290,1,60,6,15,0,0
44,299,1,60,6,15,0,0
45,307,1,60,6,15,0,0
46,312,1,60,6,15,0,0
47,317,1,60,6,15,0,0
48,319,1,60,6,15,0,0
49,324,1,60,6,15,0,0
50,335,1,60,6,15,0,0
51,340,2,60,6,15,0,0
52,343,2,60,6,15,0,0
53,348,2,60,6,15,0,0
54,352,2,60,6,15,0,0
55,361,2,60,6,15,0,0
56,370,2,60,6,15,0,0
57,385,2,60,6,15,0,0
58,389,2,60,6,15,0,0
59,398,2,60,6,15,0,0
60,401,2,60,6,15,0,0
61,406,2,60,6,15,0,0
62,410,2,60,6,15,0,0
63,418,2,60,6,15,0,0
64,424,2,60,6,15,0,0
65,427,2,60,6,15,0,0
66,433,2,60,6,15,0,0
67,437,2,60,6,15,0,0
68,446,2,60,6,15,0,0
69,450,2,60,6,15,0,0
70,454,2,60,6,15,0,0
71,462,3,60,6,15,0,0
72,467,3,60,6,15,0,0
73,479,3,60,6,15,0,0
74,488,3,60,6,15,0,0
75,494,3,60,6,15,0,0
76,506,3,60,6,15,0,0
77,514,3,60,6,15,0,0
78,518,3,60,6,15,0,0
79,522,3,60,6,15,0,0
80,529,3,60,6,15,0,0
81,539,3,60,6,15,0,0
82,544,3,60,6,15,0,0
83,555,3,60,6,15,0,0
84,558,3,60,6,15,0,0
85,566,3,60,6,15,0,0
86,569,3,60,6,15,0,0
87,573,3,60,6,15,0,0
88,579,3,60,6,15,0,0
89,593,3,60,6,15,0,0
90,597,3,60,6,15,0,0
91,605,4,60,6,15,0,0
92,615,4,60,6,15,0,0
93,620,4,60,6,15,0,0
94,622,4,60,6,15,0,0
95,627,4,60,6,15,0,0
96,629,4,60,6,15,0,0
97,630,4,60,6,15,0,0
98,632,4,60,6,15,0,0
99,634,4,60,6,15,0,0
100,635,4,60,6,15,0,0
101,638,4,60,6,15,0,0
102,640,4,60,6,15,0,0
103,646,4,60,6,15,0,0
104,653,4,60,6,15,0,0
105,661,4,60,6,15,0,0
106,664,4,60,6,15,0,0
107,666,4,60,6,15,0,0
108,668,4,60,6,15,0,0
109,670,4,60,6,15,0,0
110,672,4,60,6,15,0,0
111,673,5,60,6,15,0,0
112,676,5,60,6,15,0,0
113,679,5,60,6,15,0,0
114,684,5,60,6,15,0,0
115,687,5,60,6,15,0,0
116,698,5,60,6,15,0,0
117,704,5,60,6,15,0,0
118,708,5,60,6,15,0,0
119,711,5,60,6,15,0,0
120,714,5,60,6,15,0,0
121,718,5,60,6,15,0,0
122,721,5,60,6,15,0,0
123,730,5,60,6,15,0,0
124,740,5,60,6,15,0,0
125,745,5,60,6,15,0,0
126,750,5,60,6,15,0,0
127,754,5,60,6,15,0,0
128,763,5,60,6,15,0,0
129,765,5,60,6,15,0,0
130,768,5,60,6,15,0,0
131,774,6,60,6,15,0,0
132,776,6,60,6,15,0,0
133,784,6,60,6,15,0,0
134,793,6,60,6,15,0,0
135,797,6,60,6,15,0,0
136,804,6,60,6,15,0,0
137,807,6,60,6,15,0,0
138,810,6,60,6,15,0,0
139,818,6,60,6,15,0,0
140,824,6,60,6,15,0,0
141,827,6,60,6,15,0,0
142,837,6,60,6,15,0,0
143,839,6,60,6,15,0,0
144,844,6,60,6,15,0,0
145,851,6,60,6,15,0,0
146,856,6,60,6,15,0,0
147,858,6,60,6,15,0,0
148,862,6,60,6,15,0,0
149,870,6,60,6,15,0,0
150,874,6,60,6,15,0,570
151,879,6,60,6,15,0,570
152,883,6,60,6,15,0,570
153,886,6,60,6,15,0,570
154,895,6,60,6,15,0,570
