update,prey_seen,prey_consumed,predator_vision,predator_vision_height,predator_vision_width,attack_efficiency,predator_fitness
0,0,0,0,0,0,0,0
1,5,0,65,9,15,0,0
2,16,0,65,9,15,0,0
3,32,0,65,9,15,0,0
4,34,0,65,9,15,0,0
5,40,0,65,9,15,0,0
6,43,0,65,9,15,0,0
7,50,0,65,9,15,0,0
8,59,0,65,9,15,0,0
9,63,0,65,9,15,0,0
10,67,0,65,9,15,0,0
11,75,0,65,9,15,0,0
12,81,0,65,9,15,0,0
13,86,0,65,9,15,0,0
14,92,0,65,9,15,0,0
15,96,0,65,9,15,0,0
16,108,0,65,9,15,0,0
17,114,0,65,9,15,0,0
18,118,0,65,9,15,0,0
19,126,0,65,9,15,0,0
20,131,0,65,9,15,0,0
21,141,0,65,9,15,0,0
22,146,0,65,9,15,0,0
23,150,0,65,9,15,0,0
24,155,0,65,9,15,0,0
25,160,0,65,9,15,0,0
26,168,0,65,9,15,0,0
27,172,0,65,9,15,0,0
28,180,0,65,9,15,0,0
29,184,0,65,9,15,0,0
30,185,0,65,9,15,0,0
31,185,0,65,9,15,0,0
32,186,0,65,9,15,0,0
33,196,0,65,9,15,0,0
34,202,0,65,9,15,0,0
35,212,0,65,9,15,0,0
36,217,0,65,9,15,0,0
37,221,0,65,9,15,0,0
38,225,0,65,9,15,0,0
39,228,0,65,9,15,0,0
40,235,0,65,9,15,0,0
41,241,1,65,9,15,0,0
42,245,1,65,9,15,0,0
43,249,1,65,9,15,0,0
44,253,1,65,9,15,0,0
45,259,1,65,9,15,0,0
46,266,1,65,9,15,0,0
47,274,1,65,9,15,0,0
48,279,1,65,9,15,0,0
49,291,1,65,9,15,0,0
50,302,1,65,9,15,0,0
51,307,1,65,9,15,0,0
52,313,1,65,9,15,0,0
53,317,1,65,9,15,0,0
54,325,1,65,9,15,0,0
55,329,1,65,9,15,0,0
56,334,1,65,9,15,0,0
57,337,1,65,9,15,0,0
58,348,1,65,9,15,0,0
59,359,1,65,9,15,0,0
60,363,1,65,9,15,0,0
61,365,1,65,9,15,0,0
62,370,1,65,9,15,0,0
63,373,1,65,9,15,0,0
64,383,1,65,9,15,0,0
65,390,1,65,9,15,0,0
66,393,1,65,9,15,0,0
67,398,1,65,9,15,0,0
68,405,1,65,9,15,0,0
69,408,1,65,9,15,0,0
70,409,1,65,9,15,0,0
71,414,1,65,9,15,0,0
72,417,1,65,9,15,0,0
73,419,1,65,9,15,0,0
74,424,1,65,9,15,0,0
75,429,1,65,9,15,0,0
76,434,1,65,9,15,0,0
77,439,1,65,9,15,0,0
78,444,1,65,9,15,0,0
79,448,1,65,9,15,0,0
80,453,1,65,9,15,0,0
81,460,1,65,9,15,0,0
82,460,1,65,9,15,0,0
83,465,1,65,9,15,0,0
84,467,1,65,9,15,0,0
85,470,1,65,9,15,0,0
86,474,1,65,9,15,0,0
87,479,1,65,9,15,0,0
88,484,1,65,9,15,0,0
89,496,1,65,9,15,0,0
90,502,1,65,9,15,0,0
91,513,1,65,9,15,0,0
92,526,1,65,9,15,0,0
93,531,1,65,9,15,0,0
94,540,1,65,9,15,0,0
95,545,1,65,9,15,0,0
96,547,1,65,9,15,0,0
97,550,1,65,9,15,0,0
98,554,1,65,9,15,0,0
99,557,1,65,9,15,0,0
100,562,1,65,9,15,0,0
101,566,2,65,9,15,0,0
102,576,2,65,9,15,0,0
103,586,2,65,9,15,0,0
104,589,2,65,9,15,0,0
105,594,2,65,9,15,0,0
106,604,2,65,9,15,0,0
107,607,2,65,9,15,0,0
108,621,2,65,9,15,0,0
109,625,2,65,9,15,0,0
110,640,2,65,9,15,0,0
111,644,2,65,9,15,0,0
112,650,2,65,9,15,0,0
113,653,2,65,9,15,0,0
114,655,2,65,9,15,0,0
115,658,2,65,9,15,0,0
116,662,2,65,9,15,0,0
117,663,2,65,9,15,0,0
118,664,2,65,9,15,0,0
119,667,2,65,9,15,0,0
120,671,2,65,9,15,0,0
121,680,2,65,9,15,0,0
122,683,2,65,9,15,0,0
123,697,2,65,9,15,0,0
124,704,2,65,9,15,0,0
125,707,2,65,9,15,0,0
126,713,2,65,9,15,0,0
127,721,2,65,9,15,0,0
128,726,2,65,9,15,0,0
129,730,2,65,9,15,0,0
130,735,2,65,9,15,0,0
131,753,2,65,9,15,0,0
132,756,2,65,9,15,0,0
133,764,2,65,9,15,0,0
134,774,2,65,9,15,0,0
135,782,2,65,9,15,0,0
136,785,2,65,9,15,0,0
137,793,2,65,9,15,0,0
138,797,2,65,9,15,0,0
139,804,2,65,9,15,0,0
140,808,2,65,9,15,0,0
141,813,2,65,9,15,0,0
142,829,2,65,9,15,0,0
143,834,2,65,9,15,0,0
144,839,2,65,9,15,0,0
145,843,2,65,9,15,0,0
146,849,2,65,9,15,0,0
147,856,2,65,9,15,0,0
148,862,2,65,9,15,0,0
149,872,2,65,9,15,0,0
150,875,2,65,9,15,0,310
151,879,2,65,9,15,0,310
152,883,2,65,9,15,0,310
153,888,2,65,9,15,0,310
154,894,2,65,9,15,0,310
