update,prey_seen,prey_consumed,predator_vision,predator_vision_height,predator_vision_width,attack_efficiency,predator_fitness
0,0,0,0,0,0,0,0
1,5,0,35,5,11,0,0
2,9,0,35,5,11,0,0
3,11,0,35,5,11,0,0
4,16,0,35,5,11,0,0
5,18,0,35,5,11,0,0
6,20,0,35,5,11,0,0
7,21,0,35,5,11,0,0
8,27,0,35,5,11,0,0
9,30,0,35,5,11,0,0
10,33,0,35,5,11,0,0
11,39,0,35,5,11,0,0
12,48,0,35,5,11,0,0
13,51,0,35,5,11,0,0
14,55,0,35,5,11,0,0
15,59,0,35,5,11,0,0
16,60,0,35,5,11,0,0
17,61,0,35,5,11,0,0
18,72,0,35,5,11,0,0
19,74,0,35,5,11,0,0
20,77,0,35,5,11,0,0
21,84,0,35,5,11,0,0
22,87,0,35,5,11,0,0
23,89,0,35,5,11,0,0
24,92,0,35,5,11,0,0
25,95,0,35,5,11,0,0
26,99,0,35,5,11,0,0
27,100,0,35,5,11,0,0
28,105,0,35,5,11,0,0
29,108,0,35,5,11,0,0
30,114,0,35,5,11,0,0
31,117,0,35,5,11,0,0
32,119,0,35,5,11,0,0
33,123,0,35,5,11,0,0
34,125,0,35,5,11,0,0
35,139,0,35,5,11,0,0
36,142,0,35,5,11,0,0
37,144,0,35,5,11,0,0
38,146,0,35,5,11,0,0
39,150,0,35,5,11,0,0
40,153,0,35,5,11,0,0
41,155,0,35,5,11,0,0
42,162,0,35,5,11,0,0
43,165,0,35,5,11,0,0
44,168,0,35,5,11,0,0
45,169,0,35,5,11,0,0
46,172,0,35,5,11,0,0
47,180,0,35,5,11,0,0
48,186,0,35,5,11,0,0
49,194,0,35,5,11,0,0
50,196,0,35,5,11,0,0
51,196,0,35,5,11,0,0
52,197,0,35,5,11,0,0
53,199,0,35,5,11,0,0
54,201,0,35,5,11,0,0
55,206,0,35,5,11,0,0
56,209,0,35,5,11,0,0
57,211,0,35,5,11,0,0
58,215,0,35,5,11,0,0
59,221,0,35,5,11,0,0
60,228,0,35,5,11,0,0
61,231,0,35,5,11,0,0
62,233,0,35,5,11,0,0
63,234,0,35,5,11,0,0
64,237,0,35,5,11,0,0
65,239,0,35,5,11,0,0
66,246,0,35,5,11,0,0
67,249,0,35,5,11,0,0
68,253,0,35,5,11,0,0
69,256,0,35,5,11,0,0
70,258,0,35,5,11,0,0
71,261,0,35,5,11,0,0
72,263,0,35,5,11,0,0
73,266,0,35,5,11,0,0
74,270,0,35,5,11,0,0
75,275,0,35,5,11,0,0
76,278,0,35,5,11,0,0
77,280,0,35,5,11,0,0
78,285,0,35,5,11,0,0
79,291,0,35,5,11,0,0
80,296,0,35,5,11,0,0
81,298,1,35,5,11,0,0
82,299,1,35,5,11,0,0
83,300,1,35,5,11,0,0
84,302,1,35,5,11,0,0
85,306,1,35,5,11,0,0
86,311,1,35,5,11,0,0
87,315,1,35,5,11,0,0
88,319,1,35,5,11,0,0
89,322,1,35,5,11,0,0
90,326,1,35,5,11,0,0
91,329,2,35,5,11,0,0
92,333,2,35,5,11,0,0
93,339,2,35,5,11,0,0
94,343,2,35,5,11,0,0
95,347,2,35,5,11,0,0
96,350,2,35,5,11,0,0
97,353,2,35,5,11,0,0
98,359,2,35,5,11,0,0
99,362,2,35,5,11,0,0
100,365,2,35,5,11,0,0
101,368,2,35,5,11,0,0
102,371,2,35,5,11,0,0
103,372,2,35,5,11,0,0
104,373,2,35,5,11,0,0
105,376,2,35,5,11,0,0
106,379,2,35,5,11,0,0
107,381,2,35,5,11,0,0
108,384,2,35,5,11,0,0
109,386,2,35,5,11,0,0
110,391,2,35,5,11,0,0
111,394,2,35,5,11,0,0
112,397,2,35,5,11,0,0
113,397,2,35,5,11,0,0
114,399,2,35,5,11,0,0
115,401,2,35,5,11,0,0
116,402,2,35,5,11,0,0
117,407,2,35,5,11,0,0
118,409,2,35,5,11,0,0
119,412,2,35,5,11,0,0
120,415,2,35,5,11,0,0
121,418,2,35,5,11,0,0
122,421,2,35,5,11,0,0
123,424,2,35,5,11,0,0
124,430,2,35,5,11,0,0
125,432,2,35,5,11,0,0
126,434,2,35,5,11,0,0
127,437,2,35,5,11,0,0
128,439,2,35,5,11,0,0
129,442,2,35,5,11,0,0
130,444,2,35,5,11,0,0
131,448,3,35,5,11,0,0
132,449,3,35,5,11,0,0
133,450,3,35,5,11,0,0
134,452,3,35,5,11,0,0
135,454,3,35,5,11,0,0
136,458,3,35,5,11,0,0
137,459,3,35,5,11,0,0
138,460,3,35,5,11,0,0
139,462,3,35,5,11,0,0
140,465,3,35,5,11,0,0
141,473,4,35,5,11,0,0
142,482,4,35,5,11,0,0
143,489,4,35,5,11,0,0
144,492,4,35,5,11,0,0
145,495,4,35,5,11,0,0
146,497,4,35,5,11,0,0
147,499,4,35,5,11,0,0
148,502,4,35,5,11,0,0
149,505,4,35,5,11,0,0
150,507,4,35,5,11,0,610
151,508,5,35,5,11,0,610
152,509,5,35,5,11,0,610
153,511,5,35,5,11,0,610
154,516,5,35,5,11,0,610
