update,prey_seen,prey_consumed,predator_vision,predator_vision_height,predator_vision_width,attack_efficiency,predator_fitness
0,0,0,0,0,0,0,0
1,15,0,120,6,25,0,0
2,21,0,120,6,25,0,0
3,32,0,120,6,25,0,0
4,36,0,120,6,25,0,0
5,43,0,120,6,25,0,0
6,59,0,120,6,25,0,0
7,66,0,120,6,25,0,0
8,80,0,120,6,25,0,0
9,86,0,120,6,25,0,0
10,91,0,120,6,25,0,0
11,99,0,120,6,25,0,0
12,107,0,120,6,25,0,0
13,132,0,120,6,25,0,0
14,144,0,120,6,25,0,0
15,154,0,120,6,25,0,0
16,163,0,120,6,25,0,0
17,182,0,120,6,25,0,0
18,191,0,120,6,25,0,0
19,201,0,120,6,25,0,0
20,210,0,120,6,25,0,0
21,229,0,120,6,25,0,0
22,236,0,120,6,25,0,0
23,244,0,120,6,25,0,0
24,251,0,120,6,25,0,0
25,262,0,120,6,25,0,0
26,277,0,120,6,25,0,0
27,283,0,120,6,25,0,0
28,287,0,120,6,25,0,0
29,290,0,120,6,25,0,0
30,294,0,120,6,25,0,0
31,310,0,120,6,25,0,0
32,316,0,120,6,25,0,0
33,321,0,120,6,25,0,0
34,336,0,120,6,25,0,0
35,340,0,120,6,25,0,0
36,344,0,120,6,25,0,0
37,349,0,120,6,25,0,0
38,355,0,120,6,25,0,0
39,370,0,120,6,25,0,0
40,379,0,120,6,25,0,0
41,396,0,120,6,25,0,0
42,422,0,120,6,25,0,0
43,431,0,120,6,25,0,0
44,439,0,120,6,25,0,0
45,446,0,120,6,25,0,0
46,452,0,120,6,25,0,0
47,459,0,120,6,25,0,0
48,465,0,120,6,25,0,0
49,479,0,120,6,25,0,0
50,488,0,120,6,25,0,0
51,497,0,120,6,25,0,0
52,504,0,120,6,25,0,0
53,509,0,120,6,25,0,0
54,515,0,120,6,25,0,0
55,520,0,120,6,25,0,0
56,524,0,120,6,25,0,0
57,529,0,120,6,25,0,0
58,535,0,120,6,25,0,0
59,559,0,120,6,25,0,0
60,567,0,120,6,25,0,0
61,604,0,120,6,25,0,0
62,614,0,120,6,25,0,0
63,624,0,120,6,25,0,0
64,631,0,120,6,25,0,0
65,638,0,120,6,25,0,0
66,650,0,120,6,25,0,0
67,657,0,120,6,25,0,0
68,666,0,120,6,25,0,0
69,702,0,120,6,25,0,0
70,711,0,120,6,25,0,0
71,718,0,120,6,25,0,0
72,730,0,120,6,25,0,0
73,737,0,120,6,25,0,0
74,750,0,120,6,25,0,0
75,762,0,120,6,25,0,0
76,765,0,120,6,25,0,0
77,780,0,120,6,25,0,0
78,786,0,120,6,25,0,0
79,801,0,120,6,25,0,0
80,808,0,120,6,25,0,0
81,824,0,120,6,25,0,0
82,832,0,120,6,25,0,0
83,847,0,120,6,25,0,0
84,855,0,120,6,25,0,0
85,871,0,120,6,25,0,0
86,885,0,120,6,25,0,0
87,890,0,120,6,25,0,0
88,900,0,120,6,25,0,0
89,927,0,120,6,25,0,0
90,937,0,120,6,25,0,0
91,964,1,120,6,25,0,0
92,990,1,120,6,25,0,0
93,1000,1,120,6,25,0,0
94,1009,1,120,6,25,0,0
95,1018,1,120,6,25,0,0
96,1026,1,120,6,25,0,0
97,1033,1,120,6,25,0,0
98,1039,1,120,6,25,0,0
99,1045,1,120,6,25,0,0
100,1058,1,120,6,25,0,0
101,1068,2,120,6,25,0,0
102,1075,2,120,6,25,0,0
103,1083,2,120,6,25,0,0
104,1088,2,120,6,25,0,0
105,1094,2,120,6,25,0,0
106,1098,2,120,6,25,0,0
107,1103,2,120,6,25,0,0
108,1107,2,120,6,25,0,0
109,1115,2,120,6,25,0,0
110,1123,2,120,6,25,0,0
111,1142,2,120,6,25,0,0
112,1149,2,120,6,25,0,0
113,1176,2,120,6,25,0,0
114,1189,2,120,6,25,0,0
115,1195,2,120,6,25,0,0
116,1203,2,120,6,25,0,0
117,1222,2,120,6,25,0,0
118,1229,2,120,6,25,0,0
119,1244,2,120,6,25,0,0
120,1261,2,120,6,25,0,0
121,1276,2,120,6,25,0,0
122,1284,2,120,6,25,0,0
123,1293,2,120,6,25,0,0
124,1307,2,120,6,25,0,0
125,1323,2,120,6,25,0,0
126,1329,2,120,6,25,0,0
127,1336,2,120,6,25,0,0
128,1369,2,120,6,25,0,0
129,1378,2,120,6,25,0,0
130,1406,2,120,6,25,0,0
131,1418,2,120,6,25,0,0
132,1434,2,120,6,25,0,0
133,1448,2,120,6,25,0,0
134,1464,2,120,6,25,0,0
135,1471,2,120,6,25,0,0
136,1487,2,120,6,25,0,0
137,1494,2,120,6,25,0,0
138,1503,2,120,6,25,0,0
139,1520,2,120,6,25,0,0
140,1544,2,120,6,25,0,0
141,1552,2,120,6,25,0,0
142,1557,2,120,6,25,0,0
143,1570,2,120,6,25,0,0
144,1577,2,120,6,25,0,0
145,1584,2,120,6,25,0,0
146,1598,2,120,6,25,0,0
147,1605,2,120,6,25,0,0
148,1611,2,120,6,25,0,0
149,1618,2,120,6,25,0,0
150,1627,2,120,6,25,0,710
151,1636,2,120,6,25,0,710
152,1661,2,120,6,25,0,710
153,1670,2,120,6,25,0,710
154,1689,2,120,6,25,0,710
