update,prey_seen,prey_consumed,predator_vision,predator_vision_height,predator_vision_width,attack_efficiency,predator_fitness
0,0,0,0,0,0,0,0
1,5,0,50,8,13,0,0
2,10,0,50,8,13,0,0
3,17,0,50,8,13,0,0
4,20,0,50,8,13,0,0
5,23,0,50,8,13,0,0
6,27,0,50,8,13,0,0
7,29,0,50,8,13,0,0
8,33,0,50,8,13,0,0
9,37,0,50,8,13,0,0
10,45,0,50,8,13,0,0
11,47,1,50,8,13,0,0
12,48,1,50,8,13,0,0
13,49,1,50,8,13,0,0
14,51,1,50,8,13,0,0
15,54,1,50,8,13,0,0
16,59,1,50,8,13,0,0
17,68,1,50,8,13,0,0
18,72,1,50,8,13,0,0
19,82,1,50,8,13,0,0
20,86,1,50,8,13,0,0
21,92,1,50,8,13,0,0
22,95,1,50,8,13,0,0
23,102,1,50,8,13,0,0
24,104,1,50,8,13,0,0
25,107,1,50,8,13,0,0
26,111,1,50,8,13,0,0
27,117,1,50,8,13,0,0
28,119,1,50,8,13,0,0
29,120,1,50,8,13,0,0
30,127,1,50,8,13,0,0
31,141,1,50,8,13,0,0
32,145,1,50,8,13,0,0
33,154,1,50,8,13,0,0
34,163,1,50,8,13,0,0
35,167,1,50,8,13,0,0
36,172,1,50,8,13,0,0
37,177,1,50,8,13,0,0
38,180,1,50,8,13,0,0
39,186,1,50,8,13,0,0
40,195,1,50,8,13,0,0
41,199,1,50,8,13,0,0
42,202,1,50,8,13,0,0
43,209,1,50,8,13,0,0
44,213,1,50,8,13,0,0
45,218,1,50,8,13,0,0
46,226,1,50,8,13,0,0
47,229,1,50,8,13,0,0
48,232,1,50,8,13,0,0
49,234,1,50,8,13,0,0
50,235,1,50,8,13,0,0
51,236,2,50,8,13,0,0
52,236,2,50,8,13,0,0
53,237,2,50,8,13,0,0
54,240,2,50,8,13,0,0
55,244,2,50,8,13,0,0
56,251,2,50,8,13,0,0
57,255,2,50,8,13,0,0
58,259,2,50,8,13,0,0
59,266,2,50,8,13,0,0
60,269,2,50,8,13,0,0
61,273,2,50,8,13,0,0
62,276,2,50,8,13,0,0
63,278,2,50,8,13,0,0
64,285,2,50,8,13,0,0
65,289,2,50,8,13,0,0
66,292,2,50,8,13,0,0
67,297,2,50,8,13,0,0
68,305,2,50,8,13,0,0
69,310,2,50,8,13,0,0
70,317,2,50,8,13,0,0
71,319,3,50,8,13,0,0
72,320,3,50,8,13,0,0
73,320,3,50,8,13,0,0
74,322,3,50,8,13,0,0
75,329,3,50,8,13,0,0
76,332,3,50,8,13,0,0
77,336,3,50,8,13,0,0
78,347,3,50,8,13,0,0
79,350,3,50,8,13,0,0
80,354,3,50,8,13,0,0
81,356,3,50,8,13,0,0
82,359,3,50,8,13,0,0
83,361,3,50,8,13,0,0
84,365,3,50,8,13,0,0
85,368,3,50,8,13,0,0
86,382,3,50,8,13,0,0
87,386,3,50,8,13,0,0
88,396,3,50,8,13,0,0
89,400,3,50,8,13,0,0
90,403,3,50,8,13,0,0
91,407,4,50,8,13,0,0
92,410,4,50,8,13,0,0
93,422,4,50,8,13,0,0
94,428,4,50,8,13,0,0
95,438,4,50,8,13,0,0
96,442,4,50,8,13,0,0
97,446,4,50,8,13,0,0
98,450,4,50,8,13,0,0
99,459,4,50,8,13,0,0
100,474,4,50,8,13,0,0
101,491,4,50,8,13,0,0
102,496,4,50,8,13,0,0
103,507,4,50,8,13,0,0
104,512,4,50,8,13,0,0
105,514,4,50,8,13,0,0
106,515,4,50,8,13,0,0
107,519,4,50,8,13,0,0
108,521,4,50,8,13,0,0
109,525,4,50,8,13,0,0
110,530,4,50,8,13,0,0
111,533,4,50,8,13,0,0
112,539,4,50,8,13,0,0
113,541,4,50,8,13,0,0
114,552,4,50,8,13,0,0
115,564,4,50,8,13,0,0
116,569,4,50,8,13,0,0
117,587,4,50,8,13,0,0
118,596,4,50,8,13,0,0
119,599,4,50,8,13,0,0
120,604,4,50,8,13,0,0
121,614,4,50,8,13,0,0
122,624,4,50,8,13,0,0
123,633,4,50,8,13,0,0
124,640,4,50,8,13,0,0
125,646,4,50,8,13,0,0
126,652,4,50,8,13,0,0
127,658,4,50,8,13,0,0
128,671,4,50,8,13,0,0
129,675,4,50,8,13,0,0
130,679,4,50,8,13,0,0
131,687,4,50,8,13,0,0
132,694,4,50,8,13,0,0
133,699,4,50,8,13,0,0
134,702,4,50,8,13,0,0
135,710,4,50,8,13,0,0
136,715,4,50,8,13,0,0
137,720,4,50,8,13,0,0
138,722,4,50,8,13,0,0
139,724,4,50,8,13,0,0
140,726,4,50,8,13,0,0
141,727,5,50,8,13,0,0
142,730,5,50,8,13,0,0
143,733,5,50,8,13,0,0
144,735,5,50,8,13,0,0
145,740,5,50,8,13,0,0
146,749,5,50,8,13,0,0
147,753,5,50,8,13,0,0
148,768,5,50,8,13,0,0
149,772,5,50,8,13,0,0
150,776,5,50,8,13,0,790
151,779,5,50,8,13,0,790
152,788,5,50,8,13,0,790
153,797,5,50,8,13,0,790
154,805,5,50,8,13,0,790
