update,prey_seen,prey_consumed,predator_vision,predator_vision_height,predator_vision_width,attack_efficiency,predator_fitness
0,0,0,0,0,0,0,0
1,1,0,17,5,7,0,0
2,4,0,17,5,7,0,0
3,6,0,17,5,7,0,0
4,7,0,17,5,7,0,0
5,7,0,17,5,7,0,0
6,9,0,17,5,7,0,0
7,10,0,17,5,7,0,0
8,12,0,17,5,7,0,0
9,13,0,17,5,7,0,0
10,17,0,17,5,7,0,0
11,21,0,17,5,7,0,0
12,23,0,17,5,7,0,0
13,23,0,17,5,7,0,0
14,25,0,17,5,7,0,0
15,28,0,17,5,7,0,0
16,28,0,17,5,7,0,0
17,28,0,17,5,7,0,0
18,29,0,17,5,7,0,0
19,29,0,17,5,7,0,0
20,29,0,17,5,7,0,0
21,29,0,17,5,7,0,0
22,30,0,17,5,7,0,0
23,31,0,17,5,7,0,0
24,31,0,17,5,7,0,0
25,32,0,17,5,7,0,0
26,32,0,17,5,7,0,0
27,34,0,17,5,7,0,0
28,36,0,17,5,7,0,0
29,37,0,17,5,7,0,0
30,39,0,17,5,7,0,0
31,44,0,17,5,7,0,0
32,45,0,17,5,7,0,0
33,46,0,17,5,7,0,0
34,46,0,17,5,7,0,0
35,46,0,17,5,7,0,0
36,48,0,17,5,7,0,0
37,50,0,17,5,7,0,0
38,53,0,17,5,7,0,0
39,56,0,17,5,7,0,0
40,57,0,17,5,7,0,0
41,58,1,17,5,7,0,0
42,59,1,17,5,7,0,0
43,60,1,17,5,7,0,0
44,62,1,17,5,7,0,0
45,64,1,17,5,7,0,0
46,64,1,17,5,7,0,0
47,64,1,17,5,7,0,0
48,66,1,17,5,7,0,0
49,67,1,17,5,7,0,0
50,71,1,17,5,7,0,0
51,75,1,17,5,7,0,0
52,75,1,17,5,7,0,0
53,75,1,17,5,7,0,0
54,78,1,17,5,7,0,0
55,79,1,17,5,7,0,0
56,81,1,17,5,7,0,0
57,83,1,17,5,7,0,0
58,83,1,17,5,7,0,0
59,83,1,17,5,7,0,0
60,84,1,17,5,7,0,0
61,85,2,17,5,7,0,0
62,88,2,17,5,7,0,0
63,89,2,17,5,7,0,0
64,90,2,17,5,7,0,0
65,92,2,17,5,7,0,0
66,93,2,17,5,7,0,0
67,94,2,17,5,7,0,0
68,94,2,17,5,7,0,0
69,94,2,17,5,7,0,0
70,96,2,17,5,7,0,0
71,98,3,17,5,7,0,0
72,102,3,17,5,7,0,0
73,104,3,17,5,7,0,0
74,107,3,17,5,7,0,0
75,108,3,17,5,7,0,0
76,111,3,17,5,7,0,0
77,114,3,17,5,7,0,0
78,115,3,17,5,7,0,0
79,118,3,17,5,7,0,0
80,121,3,17,5,7,0,0
81,122,4,17,5,7,0,0
82,122,4,17,5,7,0,0
83,122,4,17,5,7,0,0
84,125,4,17,5,7,0,0
85,126,4,17,5,7,0,0
86,126,4,17,5,7,0,0
87,127,4,17,5,7,0,0
88,129,4,17,5,7,0,0
89,133,4,17,5,7,0,0
90,133,4,17,5,7,0,0
91,133,4,17,5,7,0,0
92,133,4,17,5,7,0,0
93,134,4,17,5,7,0,0
94,135,4,17,5,7,0,0
95,136,4,17,5,7,0,0
96,136,4,17,5,7,0,0
97,137,4,17,5,7,0,0
98,141,4,17,5,7,0,0
99,143,4,17,5,7,0,0
100,145,4,17,5,7,0,0
101,146,4,17,5,7,0,0
102,148,4,17,5,7,0,0
103,150,4,17,5,7,0,0
104,151,4,17,5,7,0,0
105,154,4,17,5,7,0,0
106,156,4,17,5,7,0,0
107,157,4,17,5,7,0,0
108,159,4,17,5,7,0,0
109,161,4,17,5,7,0,0
110,167,4,17,5,7,0,0
111,168,5,17,5,7,0,0
112,168,5,17,5,7,0,0
113,169,5,17,5,7,0,0
114,170,5,17,5,7,0,0
115,170,5,17,5,7,0,0
116,171,5,17,5,7,0,0
117,173,5,17,5,7,0,0
118,173,5,17,5,7,0,0
119,173,5,17,5,7,0,0
120,175,5,17,5,7,0,0
121,176,5,17,5,7,0,0
122,177,5,17,5,7,0,0
123,179,5,17,5,7,0,0
124,181,5,17,5,7,0,0
125,184,5,17,5,7,0,0
126,184,5,17,5,7,0,0
127,184,5,17,5,7,0,0
128,184,5,17,5,7,0,0
129,185,5,17,5,7,0,0
130,185,5,17,5,7,0,0
131,186,6,17,5,7,0,0
132,187,6,17,5,7,0,0
133,187,6,17,5,7,0,0
134,187,6,17,5,7,0,0
135,187,6,17,5,7,0,0
136,187,6,17,5,7,0,0
137,188,6,17,5,7,0,0
138,189,6,17,5,7,0,0
139,189,6,17,5,7,0,0
140,189,6,17,5,7,0,0
141,190,7,17,5,7,0,0
142,192,7,17,5,7,0,0
143,193,7,17,5,7,0,0
144,195,7,17,5,7,0,0
145,197,7,17,5,7,0,0
146,199,7,17,5,7,0,0
147,199,7,17,5,7,0,0
148,200,7,17,5,7,0,0
149,201,7,17,5,7,0,0
150,202,7,17,5,7,0,1051
151,203,8,17,5,7,0,1051
152,204,8,17,5,7,0,1051
153,204,8,17,5,7,0,1051
154,204,8,17,5,7,0,1051
