update,prey_seen,prey_consumed,predator_vision,predator_vision_height,predator_vision_width,attack_efficiency,predator_fitness
0,0,0,0,0,0,0,0
1,3,1,21,9,7,0,0
2,5,1,21,9,7,0,0
3,7,1,21,9,7,0,0
4,11,1,21,9,7,0,0
5,15,1,21,9,7,0,0
6,15,1,21,9,7,0,0
7,17,1,21,9,7,0,0
8,18,1,21,9,7,0,0
9,19,1,21,9,7,0,0
10,21,1,21,9,7,0,0
11,24,1,21,9,7,0,0
12,25,1,21,9,7,0,0
13,25,1,21,9,7,0,0
14,26,1,21,9,7,0,0
15,27,1,21,9,7,0,0
16,29,1,21,9,7,0,0
17,31,1,21,9,7,0,0
18,31,1,21,9,7,0,0
19,32,1,21,9,7,0,0
20,33,1,21,9,7,0,0
21,34,2,21,9,7,0,0
22,35,2,21,9,7,0,0
23,37,2,21,9,7,0,0
24,38,2,21,9,7,0,0
25,40,2,21,9,7,0,0
26,43,2,21,9,7,0,0
27,43,2,21,9,7,0,0
28,44,2,21,9,7,0,0
29,50,2,21,9,7,0,0
30,52,2,21,9,7,0,0
31,59,3,21,9,7,0,0
32,61,3,21,9,7,0,0
33,64,3,21,9,7,0,0
34,66,3,21,9,7,0,0
35,67,3,21,9,7,0,0
36,72,3,21,9,7,0,0
37,79,3,21,9,7,0,0
38,80,3,21,9,7,0,0
39,83,3,21,9,7,0,0
40,86,3,21,9,7,0,0
41,89,4,21,9,7,0,0
42,91,4,21,9,7,0,0
43,93,4,21,9,7,0,0
44,96,4,21,9,7,0,0
45,97,4,21,9,7,0,0
46,100,4,21,9,7,0,0
47,107,4,21,9,7,0,0
48,107,4,21,9,7,0,0
49,108,4,21,9,7,0,0
50,109,4,21,9,7,0,0
51,109,4,21,9,7,0,0
52,117,4,21,9,7,0,0
53,122,4,21,9,7,0,0
54,123,4,21,9,7,0,0
55,125,4,21,9,7,0,0
56,129,4,21,9,7,0,0
57,130,4,21,9,7,0,0
58,133,4,21,9,7,0,0
59,138,4,21,9,7,0,0
60,139,4,21,9,7,0,0
61,139,4,21,9,7,0,0
62,142,4,21,9,7,0,0
63,145,4,21,9,7,0,0
64,146,4,21,9,7,0,0
65,151,4,21,9,7,0,0
66,152,4,21,9,7,0,0
67,154,4,21,9,7,0,0
68,157,4,21,9,7,0,0
69,160,4,21,9,7,0,0
70,163,4,21,9,7,0,0
71,164,5,21,9,7,0,0
72,164,5,21,9,7,0,0
73,165,5,21,9,7,0,0
74,167,5,21,9,7,0,0
75,169,5,21,9,7,0,0
76,175,5,21,9,7,0,0
77,176,5,21,9,7,0,0
78,177,5,21,9,7,0,0
79,180,5,21,9,7,0,0
80,183,5,21,9,7,0,0
81,184,6,21,9,7,0,0
82,184,6,21,9,7,0,0
83,185,6,21,9,7,0,0
84,190,6,21,9,7,0,0
85,199,6,21,9,7,0,0
86,200,6,21,9,7,0,0
87,201,6,21,9,7,0,0
88,202,6,21,9,7,0,0
89,202,6,21,9,7,0,0
90,204,6,21,9,7,0,0
91,210,7,21,9,7,0,0
92,213,7,21,9,7,0,0
93,215,7,21,9,7,0,0
94,216,7,21,9,7,0,0
95,216,7,21,9,7,0,0
96,216,7,21,9,7,0,0
97,217,7,21,9,7,0,0
98,218,7,21,9,7,0,0
99,223,7,21,9,7,0,0
100,224,7,21,9,7,0,0
101,225,8,21,9,7,0,0
102,228,8,21,9,7,0,0
103,229,8,21,9,7,0,0
104,231,8,21,9,7,0,0
105,234,8,21,9,7,0,0
106,236,8,21,9,7,0,0
107,238,8,21,9,7,0,0
108,239,8,21,9,7,0,0
109,241,8,21,9,7,0,0
110,241,8,21,9,7,0,0
111,241,8,21,9,7,0,0
112,241,8,21,9,7,0,0
113,243,8,21,9,7,0,0
114,248,8,21,9,7,0,0
115,250,8,21,9,7,0,0
116,251,8,21,9,7,0,0
117,252,8,21,9,7,0,0
118,255,8,21,9,7,0,0
119,255,8,21,9,7,0,0
120,256,8,21,9,7,0,0
121,256,8,21,9,7,0,0
122,257,8,21,9,7,0,0
123,259,8,21,9,7,0,0
124,262,8,21,9,7,0,0
125,264,8,21,9,7,0,0
126,269,8,21,9,7,0,0
127,270,8,21,9,7,0,0
128,271,8,21,9,7,0,0
129,272,8,21,9,7,0,0
130,275,8,21,9,7,0,0
131,276,9,21,9,7,0,0
132,276,9,21,9,7,0,0
133,276,9,21,9,7,0,0
134,278,9,21,9,7,0,0
135,281,9,21,9,7,0,0
136,286,9,21,9,7,0,0
137,288,9,21,9,7,0,0
138,291,9,21,9,7,0,0
139,294,9,21,9,7,0,0
140,297,9,21,9,7,0,0
141,298,10,21,9,7,0,0
142,299,10,21,9,7,0,0
143,299,10,21,9,7,0,0
144,299,10,21,9,7,0,0
145,299,10,21,9,7,0,0
146,300,10,21,9,7,0,0
147,300,10,21,9,7,0,0
148,301,10,21,9,7,0,0
149,301,10,21,9,7,0,0
150,303,10,21,9,7,0,1006
151,304,11,21,9,7,0,1006
152,308,11,21,9,7,0,1006
153,312,11,21,9,7,0,1006
154,314,11,21,9,7,0,1006
