update,prey_seen,prey_consumed,predator_vision,predator_vision_height,predator_vision_width,attack_efficiency,predator_fitness
0,0,0,0,0,0,0,0
1,12,0,63,7,15,0,0
2,23,0,63,7,15,0,0
3,31,0,63,7,15,0,0
4,34,0,63,7,15,0,0
5,37,0,63,7,15,0,0
6,42,0,63,7,15,0,0
7,46,0,63,7,15,0,0
8,49,0,63,7,15,0,0
9,60,0,63,7,15,0,0
10,73,0,63,7,15,0,0
11,78,0,63,7,15,0,0
12,81,0,63,7,15,0,0
13,91,0,63,7,15,0,0
14,95,0,63,7,15,0,0
15,98,0,63,7,15,0,0
16,102,0,63,7,15,0,0
17,109,0,63,7,15,0,0
18,114,0,63,7,15,0,0
19,123,0,63,7,15,0,0
20,128,0,63,7,15,0,0
21,131,1,63,7,15,0,0
22,136,1,63,7,15,0,0
23,150,1,63,7,15,0,0
24,163,1,63,7,15,0,0
25,168,1,63,7,15,0,0
26,175,1,63,7,15,0,0
27,179,1,63,7,15,0,0
28,182,1,63,7,15,0,0
29,186,1,63,7,15,0,0
30,191,1,63,7,15,0,0
31,194,1,63,7,15,0,0
32,199,1,63,7,15,0,0
33,201,1,63,7,15,0,0
34,205,1,63,7,15,0,0
35,211,1,63,7,15,0,0
36,214,1,63,7,15,0,0
37,227,1,63,7,15,0,0
38,232,1,63,7,15,0,0
39,239,1,63,7,15,0,0
40,245,1,63,7,15,0,0
41,250,1,63,7,15,0,0
42,256,1,63,7,15,0,0
43,260,1,63,7,15,0,0
44,264,1,63,7,15,0,0
45,274,1,63,7,15,0,0
46,278,1,63,7,15,0,0
47,282,1,63,7,15,0,0
48,295,1,63,7,15,0,0
49,300,1,63,7,15,0,0
50,311,1,63,7,15,0,0
51,315,2,63,7,15,0,0
52,320,2,63,7,15,0,0
53,325,2,63,7,15,0,0
54,328,2,63,7,15,0,0
55,334,2,63,7,15,0,0
56,337,2,63,7,15,0,0
57,355,2,63,7,15,0,0
58,359,2,63,7,15,0,0
59,365,2,63,7,15,0,0
60,370,2,63,7,15,0,0
61,378,2,63,7,15,0,0
62,383,2,63,7,15,0,0
63,386,2,63,7,15,0,0
64,396,2,63,7,15,0,0
65,399,2,63,7,15,0,0
66,402,2,63,7,15,0,0
67,416,2,63,7,15,0,0
68,421,2,63,7,15,0,0
69,433,2,63,7,15,0,0
70,439,2,63,7,15,0,0
71,461,2,63,7,15,0,0
72,464,2,63,7,15,0,0
73,467,2,63,7,15,0,0
74,479,2,63,7,15,0,0
75,489,2,63,7,15,0,0
76,493,2,63,7,15,0,0
77,503,2,63,7,15,0,0
78,506,2,63,7,15,0,0
79,510,2,63,7,15,0,0
80,516,2,63,7,15,0,0
81,519,3,63,7,15,0,0
82,524,3,63,7,15,0,0
83,526,3,63,7,15,0,0
84,530,3,63,7,15,0,0
85,537,3,63,7,15,0,0
86,541,3,63,7,15,0,0
87,547,3,63,7,15,0,0
88,553,3,63,7,15,0,0
89,559,3,63,7,15,0,0
90,564,3,63,7,15,0,0
91,582,3,63,7,15,0,0
92,593,3,63,7,15,0,0
93,603,3,63,7,15,0,0
94,611,3,63,7,15,0,0
95,615,3,63,7,15,0,0
96,618,3,63,7,15,0,0
97,625,3,63,7,15,0,0
98,632,3,63,7,15,0,0
99,634,3,63,7,15,0,0
100,635,3,63,7,15,0,0
101,636,4,63,7,15,0,0
102,638,4,63,7,15,0,0
103,640,4,63,7,15,0,0
104,641,4,63,7,15,0,0
105,643,4,63,7,15,0,0
106,646,4,63,7,15,0,0
107,649,4,63,7,15,0,0
108,651,4,63,7,15,0,0
109,652,4,63,7,15,0,0
110,654,4,63,7,15,0,0
111,657,5,63,7,15,0,0
112,660,5,63,7,15,0,0
113,663,5,63,7,15,0,0
114,665,5,63,7,15,0,0
115,673,5,63,7,15,0,0
116,690,5,63,7,15,0,0
117,695,5,63,7,15,0,0
118,700,5,63,7,15,0,0
119,710,5,63,7,15,0,0
120,718,5,63,7,15,0,0
121,728,6,63,7,15,0,0
122,731,6,63,7,15,0,0
123,736,6,63,7,15,0,0
124,740,6,63,7,15,0,0
125,745,6,63,7,15,0,0
126,750,6,63,7,15,0,0
127,754,6,63,7,15,0,0
128,756,6,63,7,15,0,0
129,759,6,63,7,15,0,0
130,764,6,63,7,15,0,0
131,774,6,63,7,15,0,0
132,776,6,63,7,15,0,0
133,778,6,63,7,15,0,0
134,784,6,63,7,15,0,0
135,788,6,63,7,15,0,0
136,792,6,63,7,15,0,0
137,794,6,63,7,15,0,0
138,796,6,63,7,15,0,0
139,800,6,63,7,15,0,0
140,804,6,63,7,15,0,0
141,817,6,63,7,15,0,0
142,821,6,63,7,15,0,0
143,829,6,63,7,15,0,0
144,841,6,63,7,15,0,0
145,852,6,63,7,15,0,0
146,858,6,63,7,15,0,0
147,864,6,63,7,15,0,0
148,867,6,63,7,15,0,0
149,879,6,63,7,15,0,0
150,883,6,63,7,15,0,870
151,890,6,63,7,15,0,870
152,893,6,63,7,15,0,870
153,896,6,63,7,15,0,870
154,898,6,63,7,15,0,870
