update,prey_seen,prey_consumed,predator_vision,predator_vision_height,predator_vision_width,attack_efficiency
0,0,0,0,0,0,0
1,11,0,144,8,25,0
2,17,1,144,8,25,1
3,29,1,144,8,25,1
4,54,1,144,8,25,1
5,89,2,144,8,25,1
6,125,3,144,8,25,1
7,143,4,144,8,25,1
8,154,4,144,8,25,1
9,176,4,144,8,25,1
10,187,4,144,8,25,1
11,196,4,144,8,25,1
12,204,4,144,8,25,1
13,211,4,144,8,25,1
14,224,4,144,8,25,1
15,229,4,144,8,25,1
16,234,4,144,8,25,1
17,244,5,144,8,25,1
18,249,5,144,8,25,1
19,261,5,144,8,25,1
20,271,5,144,8,25,1
21,315,5,144,8,25,1
22,322,5,144,8,25,1
23,329,5,144,8,25,1
24,353,7,144,8,25,1
25,358,7,144,8,25,1
26,365,8,144,8,25,1
27,370,8,144,8,25,1
28,375,8,144,8,25,1
29,387,8,144,8,25,1
30,403,8,144,8,25,1
31,409,8,144,8,25,1
32,416,8,144,8,25,1
33,423,8,144,8,25,1
34,443,8,144,8,25,1
35,457,9,144,8,25,1
36,472,9,144,8,25,1
37,492,9,144,8,25,1
38,504,9,144,8,25,1
39,515,9,144,8,25,1
40,528,9,144,8,25,1
41,541,9,144,8,25,1
42,553,9,144,8,25,1
43,564,10,144,8,25,1
44,582,10,144,8,25,1
45,597,10,144,8,25,1
46,628,10,144,8,25,1
47,634,10,144,8,25,1
48,640,10,144,8,25,1
49,654,10,144,8,25,1
50,661,10,144,8,25,1
51,673,11,144,8,25,1
52,679,11,144,8,25,1
53,687,11,144,8,25,1
54,692,11,144,8,25,1
55,700,11,144,8,25,1
56,708,11,144,8,25,1
57,716,11,144,8,25,1
58,752,13,144,8,25,1
59,758,13,144,8,25,1
60,763,13,144,8,25,1
61,783,14,144,8,25,1
62,792,14,144,8,25,1
63,800,14,144,8,25,1
64,809,14,144,8,25,1
65,826,15,144,8,25,1
66,834,15,144,8,25,1
67,851,15,144,8,25,1
68,865,15,144,8,25,1
69,881,15,144,8,25,1
70,911,15,144,8,25,1
71,937,15,144,8,25,1
72,946,15,144,8,25,1
73,953,15,144,8,25,1
74,969,15,144,8,25,1
75,986,15,144,8,25,1
76,993,15,144,8,25,1
77,1000,15,144,8,25,1
78,1016,16,144,8,25,1
79,1023,16,144,8,25,1
80,1035,16,144,8,25,1
81,1043,16,144,8,25,1
82,1049,16,144,8,25,1
83,1057,16,144,8,25,1
84,1063,16,144,8,25,1
85,1077,16,144,8,25,1
86,1084,16,144,8,25,1
87,1099,16,144,8,25,1
88,1107,17,144,8,25,1
89,1115,17,144,8,25,1
90,1122,18,144,8,25,1
91,1137,19,144,8,25,1
92,1147,19,144,8,25,1
93,1151,19,144,8,25,1
94,1162,19,144,8,25,1
95,1168,19,144,8,25,1
96,1173,19,144,8,25,1
97,1178,19,144,8,25,1
98,1197,20,144,8,25,1
99,1201,20,144,8,25,1
100,1209,20,144,8,25,1
101,1214,20,144,8,25,1
102,1221,20,144,8,25,1
103,1224,20,144,8,25,1
104,1227,20,144,8,25,1
105,1234,20,144,8,25,1
106,1242,20,144,8,25,1
107,1254,20,144,8,25,1
108,1269,21,144,8,25,1
109,1276,21,144,8,25,1
110,1307,21,144,8,25,1
111,1324,21,144,8,25,1
112,1351,22,144,8,25,1
113,1369,22,144,8,25,1
114,1380,22,144,8,25,1
115,1391,22,144,8,25,1
116,1407,22,144,8,25,1
117,1421,23,144,8,25,1
118,1435,23,144,8,25,1
119,1442,24,144,8,25,1
120,1473,24,144,8,25,1
121,1480,24,144,8,25,1
122,1493,24,144,8,25,1
123,1500,25,144,8,25,1
124,1508,25,144,8,25,1
125,1514,25,144,8,25,1
126,1525,25,144,8,25,1
127,1528,25,144,8,25,1
128,1531,25,144,8,25,1
129,1535,25,144,8,25,1
130,1550,26,144,8,25,1
131,1554,26,144,8,25,1
132,1558,26,144,8,25,1
133,1562,26,144,8,25,1
134,1574,27,144,8,25,1
135,1580,27,144,8,25,1
136,1591,27,144,8,25,1
137,1603,27,144,8,25,1
138,1609,27,144,8,25,1
139,1615,27,144,8,25,1
140,1627,27,144,8,25,1
141,1640,28,144,8,25,1
142,1660,29,144,8,25,1
143,1672,29,144,8,25,1
144,1677,29,144,8,25,1
145,1689,29,144,8,25,1
146,1712,29,144,8,25,1
147,1727,30,144,8,25,1
148,1740,30,144,8,25,1
149,1763,30,144,8,25,1
150,1789,30,144,8,25,1
151,1806,30,144,8,25,1
152,1816,31,144,8,25,1
153,1833,31,144,8,25,1
154,1841,31,144,8,25,1
155,1855,31,144,8,25,1
156,1862,31,144,8,25,1
157,1884,31,144,8,25,1
158,1894,31,144,8,25,1
159,1900,31,144,8,25,1
160,1911,31,144,8,25,1
161,1916,31,144,8,25,1
162,1922,32,144,8,25,1
163,1926,33,144,8,25,1
164,1935,33,144,8,25,1
165,1951,33,144,8,25,1
166,1966,33,144,8,25,1
167,1971,33,144,8,25,1
168,1975,33,144,8,25,1
169,1989,33,144,8,25,1
170,1996,33,144,8,25,1
171,2004,33,144,8,25,1
172,2012,33,144,8,25,1
173,2019,34,144,8,25,1
174,2024,34,144,8,25,1
175,2028,34,144,8,25,1
176,2034,34,144,8,25,1
177,2045,34,144,8,25,1
178,2049,34,144,8,25,1
179,2059,34,144,8,25,1
180,2075,34,144,8,25,1
181,2080,34,144,8,25,1
182,2084,34,144,8,25,1
183,2089,34,144,8,25,1
184,2099,34,144,8,25,1
185,2127,34,144,8,25,1
186,2133,34,144,8,25,1
187,2138,34,144,8,25,1
188,2144,34,144,8,25,1
189,2150,34,144,8,25,1
190,2156,34,144,8,25,1
191,2160,34,144,8,25,1
192,2165,34,144,8,25,1
193,2190,34,144,8,25,1
194,2217,34,144,8,25,1
195,2235,34,144,8,25,1
196,2241,34,144,8,25,1
197,2246,34,144,8,25,1
198,2251,34,144,8,25,1
199,2257,34,144,8,25,1
200,2267,34,144,8,25,1
201,2272,34,144,8,25,1
202,2284,35,144,8,25,1
203,2289,35,144,8,25,1
204,2291,35,144,8,25,1
205,2294,35,144,8,25,1
206,2298,35,144,8,25,1
207,2301,35,144,8,25,1
208,2305,35,144,8,25,1
209,2309,35,144,8,25,1
210,2319,35,144,8,25,1
211,2325,35,144,8,25,1
212,2335,36,144,8,25,1
213,2350,37,144,8,25,1
214,2356,37,144,8,25,1
215,2365,37,144,8,25,1
216,2373,37,144,8,25,1
217,2377,37,144,8,25,1
218,2388,37,144,8,25,1
219,2391,37,144,8,25,1
220,2398,37,144,8,25,1
221,2401,37,144,8,25,1
222,2404,38,144,8,25,1
223,2408,38,144,8,25,1
224,2412,38,144,8,25,1
225,2420,38,144,8,25,1
226,2425,38,144,8,25,1
227,2428,38,144,8,25,1
228,2433,38,144,8,25,1
229,2437,38,144,8,25,1
230,2444,38,144,8,25,1
231,2452,38,144,8,25,1
232,2466,38,144,8,25,1
233,2473,38,144,8,25,1
234,2480,39,144,8,25,1
235,2494,39,144,8,25,1
236,2500,39,144,8,25,1
237,2505,39,144,8,25,1
238,2520,39,144,8,25,1
239,2530,39,144,8,25,1
240,2536,39,144,8,25,1
241,2540,39,144,8,25,1
242,2551,40,144,8,25,1
243,2555,40,144,8,25,1
244,2559,40,144,8,25,1
245,2565,40,144,8,25,1
246,2580,41,144,8,25,1
247,2600,41,144,8,25,1
248,2608,41,144,8,25,1
249,2614,41,144,8,25,1
250,2628,41,144,8,25,1
251,2636,41,144,8,25,1
252,2644,42,144,8,25,1
253,2651,42,144,8,25,1
254,2657,42,144,8,25,1
255,2663,43,144,8,25,1
256,2668,43,144,8,25,1
257,2677,43,144,8,25,1
258,2689,44,144,8,25,1
259,2697,44,144,8,25,1
260,2700,44,144,8,25,1
261,2703,44,144,8,25,1
262,2706,44,144,8,25,1
263,2713,44,144,8,25,1
264,2717,44,144,8,25,1
265,2725,44,144,8,25,1
266,2728,44,144,8,25,1
267,2731,44,144,8,25,1
268,2744,44,144,8,25,1
269,2751,44,144,8,25,1
270,2755,44,144,8,25,1
271,2758,44,144,8,25,1
272,2761,44,144,8,25,1
273,2770,45,144,8,25,1
274,2780,45,144,8,25,1
275,2787,45,144,8,25,1
276,2791,45,144,8,25,1
277,2797,45,144,8,25,1
278,2811,45,144,8,25,1
279,2819,45,144,8,25,1
280,2830,46,144,8,25,1
281,2834,46,144,8,25,1
282,2850,46,144,8,25,1
283,2862,46,144,8,25,1
284,2867,46,144,8,25,1
285,2874,46,144,8,25,1
286,2882,46,144,8,25,1
287,2886,46,144,8,25,1
288,2894,47,144,8,25,1
289,2905,47,144,8,25,1
290,2914,47,144,8,25,1
291,2918,47,144,8,25,1
292,2922,47,144,8,25,1
293,2930,47,144,8,25,1
294,2944,47,144,8,25,1
295,2956,48,144,8,25,1
296,2969,48,144,8,25,1
297,2973,48,144,8,25,1
298,2977,48,144,8,25,1
299,2982,48,144,8,25,1
300,2986,48,144,8,25,1
301,2994,48,144,8,25,1
302,3005,48,144,8,25,1
303,3015,48,144,8,25,1
304,3019,48,144,8,25,1
305,3025,48,144,8,25,1
