update,prey_seen,prey_consumed,predator_vision,predator_vision_height,predator_vision_width,attack_efficiency
0,0,0,0,0,0,0
1,2,0,51,9,13,0
2,9,0,51,9,13,0
3,12,0,51,9,13,0
4,23,0,51,9,13,0
5,31,0,51,9,13,0
6,34,0,51,9,13,0
7,34,0,51,9,13,0
8,37,1,51,9,13,1
9,39,1,51,9,13,1
10,43,1,51,9,13,1
11,48,2,51,9,13,1
12,51,2,51,9,13,1
13,55,2,51,9,13,1
14,59,3,51,9,13,1
15,62,4,51,9,13,1
16,64,4,51,9,13,1
17,64,4,51,9,13,1
18,66,4,51,9,13,1
19,75,4,51,9,13,1
20,85,4,51,9,13,1
21,94,5,51,9,13,1
22,96,5,51,9,13,1
23,101,6,51,9,13,1
24,109,6,51,9,13,1
25,112,6,51,9,13,1
26,114,6,51,9,13,1
27,115,6,51,9,13,1
28,118,6,51,9,13,1
29,122,6,51,9,13,1
30,123,6,51,9,13,1
31,129,6,51,9,13,1
32,142,6,51,9,13,1
33,152,6,51,9,13,1
34,169,7,51,9,13,1
35,173,7,51,9,13,1
36,178,7,51,9,13,1
37,187,8,51,9,13,1
38,190,8,51,9,13,1
39,192,8,51,9,13,1
40,198,9,51,9,13,1
41,201,9,51,9,13,1
42,204,10,51,9,13,1
43,207,10,51,9,13,1
44,217,11,51,9,13,1
45,221,11,51,9,13,1
46,223,11,51,9,13,1
47,223,11,51,9,13,1
48,223,11,51,9,13,1
49,225,11,51,9,13,1
50,228,11,51,9,13,1
51,241,11,51,9,13,1
52,254,11,51,9,13,1
53,259,12,51,9,13,1
54,263,12,51,9,13,1
55,268,12,51,9,13,1
56,270,12,51,9,13,1
57,275,14,51,9,13,1
58,282,14,51,9,13,1
59,290,15,51,9,13,1
60,292,15,51,9,13,1
61,298,15,51,9,13,1
62,301,15,51,9,13,1
63,303,15,51,9,13,1
64,307,15,51,9,13,1
65,310,15,51,9,13,1
66,312,15,51,9,13,1
67,322,15,51,9,13,1
68,327,15,51,9,13,1
69,330,15,51,9,13,1
70,333,15,51,9,13,1
71,335,16,51,9,13,1
72,338,16,51,9,13,1
73,340,16,51,9,13,1
74,342,16,51,9,13,1
75,343,16,51,9,13,1
76,346,17,51,9,13,1
77,348,17,51,9,13,1
78,354,17,51,9,13,1
79,357,17,51,9,13,1
80,366,17,51,9,13,1
81,371,18,51,9,13,1
82,373,18,51,9,13,1
83,377,18,51,9,13,1
84,384,18,51,9,13,1
85,388,18,51,9,13,1
86,395,18,51,9,13,1
87,398,18,51,9,13,1
88,402,18,51,9,13,1
89,404,18,51,9,13,1
90,410,18,51,9,13,1
91,413,18,51,9,13,1
92,416,18,51,9,13,1
93,421,18,51,9,13,1
94,423,18,51,9,13,1
95,426,19,51,9,13,1
96,427,19,51,9,13,1
97,428,19,51,9,13,1
98,430,19,51,9,13,1
99,433,20,51,9,13,1
100,437,20,51,9,13,1
101,440,20,51,9,13,1
102,446,20,51,9,13,1
103,448,20,51,9,13,1
104,450,20,51,9,13,1
105,453,20,51,9,13,1
106,456,20,51,9,13,1
107,459,20,51,9,13,1
108,469,21,51,9,13,1
109,477,21,51,9,13,1
110,482,22,51,9,13,1
111,486,22,51,9,13,1
112,489,22,51,9,13,1
113,494,22,51,9,13,1
114,503,23,51,9,13,1
115,508,23,51,9,13,1
116,511,24,51,9,13,1
117,513,24,51,9,13,1
118,519,24,51,9,13,1
119,521,25,51,9,13,1
120,525,25,51,9,13,1
121,526,25,51,9,13,1
122,530,25,51,9,13,1
123,532,25,51,9,13,1
124,534,25,51,9,13,1
125,541,25,51,9,13,1
126,544,25,51,9,13,1
127,548,25,51,9,13,1
128,550,25,51,9,13,1
129,552,25,51,9,13,1
130,556,25,51,9,13,1
131,558,25,51,9,13,1
132,567,25,51,9,13,1
133,576,25,51,9,13,1
134,583,25,51,9,13,1
135,591,25,51,9,13,1
136,594,25,51,9,13,1
137,595,25,51,9,13,1
138,597,25,51,9,13,1
139,601,25,51,9,13,1
140,602,25,51,9,13,1
141,602,25,51,9,13,1
142,606,25,51,9,13,1
143,608,26,51,9,13,1
144,612,26,51,9,13,1
145,614,26,51,9,13,1
146,618,26,51,9,13,1
147,624,27,51,9,13,1
148,626,27,51,9,13,1
149,628,27,51,9,13,1
150,634,28,51,9,13,1
151,640,29,51,9,13,1
152,643,29,51,9,13,1
153,647,29,51,9,13,1
154,650,29,51,9,13,1
