update,prey_seen,prey_consumed,predator_vision,predator_vision_height,predator_vision_width,attack_efficiency
0,0,0,0,0,0,0
1,14,1,120,6,25,1
2,20,1,120,6,25,1
3,32,1,120,6,25,1
4,36,2,120,6,25,1
5,39,2,120,6,25,1
6,48,2,120,6,25,1
7,60,2,120,6,25,1
8,64,2,120,6,25,1
9,70,2,120,6,25,1
10,76,2,120,6,25,1
11,83,3,120,6,25,1
12,89,3,120,6,25,1
13,95,3,120,6,25,1
14,101,3,120,6,25,1
15,110,4,120,6,25,1
16,114,4,120,6,25,1
17,123,4,120,6,25,1
18,127,5,120,6,25,1
19,134,5,120,6,25,1
20,138,5,120,6,25,1
21,143,5,120,6,25,1
22,150,5,120,6,25,1
23,164,5,120,6,25,1
24,172,5,120,6,25,1
25,191,5,120,6,25,1
26,210,6,120,6,25,1
27,218,6,120,6,25,1
28,236,7,120,6,25,1
29,250,7,120,6,25,1
30,257,7,120,6,25,1
31,273,7,120,6,25,1
32,288,8,120,6,25,1
33,293,8,120,6,25,1
34,308,9,120,6,25,1
35,317,9,120,6,25,1
36,325,9,120,6,25,1
37,334,10,120,6,25,1
38,340,10,120,6,25,1
39,350,10,120,6,25,1
40,369,12,120,6,25,1
41,382,13,120,6,25,1
42,389,13,120,6,25,1
43,420,13,120,6,25,1
44,427,13,120,6,25,1
45,440,13,120,6,25,1
46,456,13,120,6,25,1
47,465,13,120,6,25,1
48,471,13,120,6,25,1
49,483,13,120,6,25,1
50,491,13,120,6,25,1
51,499,13,120,6,25,1
52,513,13,120,6,25,1
53,535,13,120,6,25,1
54,550,13,120,6,25,1
55,565,13,120,6,25,1
56,572,13,120,6,25,1
57,582,13,120,6,25,1
58,601,14,120,6,25,1
59,611,15,120,6,25,1
60,617,15,120,6,25,1
61,622,15,120,6,25,1
62,630,15,120,6,25,1
63,640,15,120,6,25,1
64,646,15,120,6,25,1
65,653,16,120,6,25,1
66,661,16,120,6,25,1
67,668,16,120,6,25,1
68,681,16,120,6,25,1
69,697,16,120,6,25,1
70,711,16,120,6,25,1
71,717,16,120,6,25,1
72,729,16,120,6,25,1
73,735,16,120,6,25,1
74,742,16,120,6,25,1
75,755,17,120,6,25,1
76,761,17,120,6,25,1
77,766,17,120,6,25,1
78,771,17,120,6,25,1
79,791,17,120,6,25,1
80,804,17,120,6,25,1
81,811,17,120,6,25,1
82,817,17,120,6,25,1
83,829,17,120,6,25,1
84,835,17,120,6,25,1
85,847,17,120,6,25,1
86,859,17,120,6,25,1
87,869,18,120,6,25,1
88,883,18,120,6,25,1
89,888,18,120,6,25,1
90,899,19,120,6,25,1
91,906,19,120,6,25,1
92,918,19,120,6,25,1
93,931,19,120,6,25,1
94,944,20,120,6,25,1
95,965,20,120,6,25,1
96,971,20,120,6,25,1
97,975,20,120,6,25,1
98,979,20,120,6,25,1
99,983,20,120,6,25,1
100,990,20,120,6,25,1
101,997,20,120,6,25,1
102,1000,20,120,6,25,1
103,1005,20,120,6,25,1
104,1011,20,120,6,25,1
105,1021,20,120,6,25,1
106,1034,20,120,6,25,1
107,1041,20,120,6,25,1
108,1047,20,120,6,25,1
109,1054,20,120,6,25,1
110,1061,21,120,6,25,1
111,1067,21,120,6,25,1
112,1075,21,120,6,25,1
113,1093,21,120,6,25,1
114,1103,22,120,6,25,1
115,1115,22,120,6,25,1
116,1121,22,120,6,25,1
117,1130,22,120,6,25,1
118,1140,23,120,6,25,1
119,1144,23,120,6,25,1
120,1148,23,120,6,25,1
121,1151,23,120,6,25,1
122,1160,23,120,6,25,1
123,1164,23,120,6,25,1
124,1171,23,120,6,25,1
125,1174,24,120,6,25,1
126,1182,24,120,6,25,1
127,1186,24,120,6,25,1
128,1191,24,120,6,25,1
129,1195,24,120,6,25,1
130,1204,24,120,6,25,1
131,1209,24,120,6,25,1
132,1225,25,120,6,25,1
133,1229,25,120,6,25,1
134,1238,25,120,6,25,1
135,1255,26,120,6,25,1
136,1266,27,120,6,25,1
137,1271,27,120,6,25,1
138,1276,27,120,6,25,1
139,1281,28,120,6,25,1
140,1287,28,120,6,25,1
141,1289,28,120,6,25,1
142,1297,28,120,6,25,1
143,1306,28,120,6,25,1
144,1321,29,120,6,25,1
145,1329,29,120,6,25,1
146,1332,29,120,6,25,1
147,1334,29,120,6,25,1
148,1339,29,120,6,25,1
149,1346,29,120,6,25,1
150,1349,29,120,6,25,1
151,1353,29,120,6,25,1
152,1356,29,120,6,25,1
153,1369,29,120,6,25,1
154,1373,29,120,6,25,1
