update,prey_seen,prey_consumed,predator_vision,predator_vision_height,predator_vision_width,attack_efficiency
0,0,0,0,0,0,0
1,4,0,72,4,21,0
2,14,0,72,4,21,0
3,17,0,72,4,21,0
4,19,0,72,4,21,0
5,29,1,72,4,21,1
6,35,1,72,4,21,1
7,44,1,72,4,21,1
8,49,1,72,4,21,1
9,65,2,72,4,21,1
10,66,2,72,4,21,1
11,68,2,72,4,21,1
12,75,2,72,4,21,1
13,79,2,72,4,21,1
14,85,2,72,4,21,1
15,91,3,72,4,21,1
16,98,4,72,4,21,1
17,103,4,72,4,21,1
18,106,4,72,4,21,1
19,115,4,72,4,21,1
20,121,4,72,4,21,1
21,125,4,72,4,21,1
22,127,4,72,4,21,1
23,128,4,72,4,21,1
24,139,5,72,4,21,1
25,144,5,72,4,21,1
26,154,5,72,4,21,1
27,159,5,72,4,21,1
28,163,5,72,4,21,1
29,169,5,72,4,21,1
30,179,6,72,4,21,1
31,192,7,72,4,21,1
32,198,7,72,4,21,1
33,203,7,72,4,21,1
34,206,7,72,4,21,1
35,212,7,72,4,21,1
36,222,7,72,4,21,1
37,227,7,72,4,21,1
38,232,7,72,4,21,1
39,241,8,72,4,21,1
40,245,8,72,4,21,1
41,248,9,72,4,21,1
42,250,9,72,4,21,1
43,253,9,72,4,21,1
44,254,9,72,4,21,1
45,255,9,72,4,21,1
46,257,9,72,4,21,1
47,259,9,72,4,21,1
48,261,9,72,4,21,1
49,265,9,72,4,21,1
50,268,10,72,4,21,1
51,272,10,72,4,21,1
52,275,10,72,4,21,1
53,281,10,72,4,21,1
54,284,11,72,4,21,1
55,286,11,72,4,21,1
56,288,11,72,4,21,1
57,290,11,72,4,21,1
58,294,11,72,4,21,1
59,296,11,72,4,21,1
60,302,12,72,4,21,1
61,309,12,72,4,21,1
62,320,13,72,4,21,1
63,334,14,72,4,21,1
64,338,14,72,4,21,1
65,341,15,72,4,21,1
66,348,15,72,4,21,1
67,351,15,72,4,21,1
68,354,15,72,4,21,1
69,357,15,72,4,21,1
70,363,15,72,4,21,1
71,365,15,72,4,21,1
72,370,16,72,4,21,1
73,371,16,72,4,21,1
74,377,16,72,4,21,1
75,380,16,72,4,21,1
76,401,18,72,4,21,1
77,403,19,72,4,21,1
78,405,19,72,4,21,1
79,409,21,72,4,21,1
80,411,21,72,4,21,1
81,413,21,72,4,21,1
82,416,21,72,4,21,1
83,423,21,72,4,21,1
84,426,21,72,4,21,1
85,429,21,72,4,21,1
86,440,23,72,4,21,1
87,449,23,72,4,21,1
88,457,23,72,4,21,1
89,460,23,72,4,21,1
90,461,23,72,4,21,1
91,462,23,72,4,21,1
92,464,23,72,4,21,1
93,465,23,72,4,21,1
94,467,23,72,4,21,1
95,469,23,72,4,21,1
96,470,23,72,4,21,1
97,473,24,72,4,21,1
98,476,24,72,4,21,1
99,478,24,72,4,21,1
100,480,24,72,4,21,1
101,484,24,72,4,21,1
102,488,24,72,4,21,1
103,494,25,72,4,21,1
104,497,25,72,4,21,1
105,506,25,72,4,21,1
106,509,25,72,4,21,1
107,513,25,72,4,21,1
108,514,25,72,4,21,1
109,515,26,72,4,21,1
110,518,26,72,4,21,1
111,532,27,72,4,21,1
112,538,27,72,4,21,1
113,542,27,72,4,21,1
114,553,27,72,4,21,1
115,570,29,72,4,21,1
116,575,29,72,4,21,1
117,581,30,72,4,21,1
118,589,30,72,4,21,1
119,593,30,72,4,21,1
120,595,30,72,4,21,1
121,598,30,72,4,21,1
122,600,30,72,4,21,1
123,609,31,72,4,21,1
124,617,32,72,4,21,1
125,618,32,72,4,21,1
126,620,32,72,4,21,1
127,628,32,72,4,21,1
128,637,33,72,4,21,1
129,640,33,72,4,21,1
130,643,34,72,4,21,1
131,655,35,72,4,21,1
132,659,35,72,4,21,1
133,667,35,72,4,21,1
134,676,35,72,4,21,1
135,688,35,72,4,21,1
136,694,35,72,4,21,1
137,696,35,72,4,21,1
138,704,36,72,4,21,1
139,709,37,72,4,21,1
140,717,37,72,4,21,1
141,720,37,72,4,21,1
142,721,37,72,4,21,1
143,730,38,72,4,21,1
144,730,38,72,4,21,1
145,731,38,72,4,21,1
146,732,38,72,4,21,1
147,734,38,72,4,21,1
148,738,38,72,4,21,1
149,741,38,72,4,21,1
150,748,39,72,4,21,1
151,754,39,72,4,21,1
152,756,40,72,4,21,1
153,760,40,72,4,21,1
154,763,40,72,4,21,1
