update,prey_seen,prey_consumed,predator_vision,predator_vision_height,predator_vision_width,attack_efficiency
0,0,0,0,0,0,0
1,6,1,63,3,23,1
2,13,1,63,3,23,1
3,17,1,63,3,23,1
4,31,2,63,3,23,1
5,37,2,63,3,23,1
6,41,2,63,3,23,1
7,54,3,63,3,23,1
8,68,4,63,3,23,1
9,73,4,63,3,23,1
10,83,4,63,3,23,1
11,86,4,63,3,23,1
12,91,4,63,3,23,1
13,96,5,63,3,23,1
14,113,5,63,3,23,1
15,123,5,63,3,23,1
16,128,6,63,3,23,1
17,131,6,63,3,23,1
18,137,7,63,3,23,1
19,143,7,63,3,23,1
20,151,8,63,3,23,1
21,160,9,63,3,23,1
22,163,9,63,3,23,1
23,170,10,63,3,23,1
24,172,10,63,3,23,1
25,173,10,63,3,23,1
26,177,10,63,3,23,1
27,178,10,63,3,23,1
28,184,12,63,3,23,1
29,189,12,63,3,23,1
30,201,12,63,3,23,1
31,209,12,63,3,23,1
32,215,12,63,3,23,1
33,217,12,63,3,23,1
34,221,12,63,3,23,1
35,223,12,63,3,23,1
36,225,12,63,3,23,1
37,226,12,63,3,23,1
38,228,12,63,3,23,1
39,232,12,63,3,23,1
40,234,12,63,3,23,1
41,246,12,63,3,23,1
42,251,13,63,3,23,1
43,253,13,63,3,23,1
44,253,13,63,3,23,1
45,255,13,63,3,23,1
46,257,13,63,3,23,1
47,267,13,63,3,23,1
48,276,14,63,3,23,1
49,280,14,63,3,23,1
50,283,14,63,3,23,1
51,287,14,63,3,23,1
52,289,14,63,3,23,1
53,292,14,63,3,23,1
54,293,14,63,3,23,1
55,295,14,63,3,23,1
56,301,14,63,3,23,1
57,304,14,63,3,23,1
58,313,14,63,3,23,1
59,327,14,63,3,23,1
60,333,14,63,3,23,1
61,340,15,63,3,23,1
62,342,16,63,3,23,1
63,344,16,63,3,23,1
64,348,16,63,3,23,1
65,354,16,63,3,23,1
66,360,16,63,3,23,1
67,364,16,63,3,23,1
68,368,16,63,3,23,1
69,376,17,63,3,23,1
70,382,17,63,3,23,1
71,385,17,63,3,23,1
72,388,17,63,3,23,1
73,395,17,63,3,23,1
74,401,17,63,3,23,1
75,407,17,63,3,23,1
76,411,18,63,3,23,1
77,415,18,63,3,23,1
78,418,19,63,3,23,1
79,423,20,63,3,23,1
80,427,20,63,3,23,1
81,428,20,63,3,23,1
82,437,20,63,3,23,1
83,438,20,63,3,23,1
84,442,20,63,3,23,1
85,446,20,63,3,23,1
86,457,21,63,3,23,1
87,460,21,63,3,23,1
88,469,21,63,3,23,1
89,476,21,63,3,23,1
90,479,21,63,3,23,1
91,481,21,63,3,23,1
92,481,21,63,3,23,1
93,485,21,63,3,23,1
94,489,21,63,3,23,1
95,491,21,63,3,23,1
96,498,22,63,3,23,1
97,499,22,63,3,23,1
98,499,22,63,3,23,1
99,504,22,63,3,23,1
100,508,23,63,3,23,1
101,511,23,63,3,23,1
102,513,23,63,3,23,1
103,523,25,63,3,23,1
104,527,25,63,3,23,1
105,530,25,63,3,23,1
106,542,27,63,3,23,1
107,544,27,63,3,23,1
108,550,27,63,3,23,1
109,553,27,63,3,23,1
110,557,27,63,3,23,1
111,564,27,63,3,23,1
112,569,28,63,3,23,1
113,572,28,63,3,23,1
114,575,28,63,3,23,1
115,576,28,63,3,23,1
116,580,29,63,3,23,1
117,581,29,63,3,23,1
118,586,29,63,3,23,1
119,592,29,63,3,23,1
120,593,29,63,3,23,1
121,594,29,63,3,23,1
122,597,29,63,3,23,1
123,599,29,63,3,23,1
124,603,29,63,3,23,1
125,607,29,63,3,23,1
126,609,29,63,3,23,1
127,612,29,63,3,23,1
128,615,29,63,3,23,1
129,618,29,63,3,23,1
130,623,29,63,3,23,1
131,631,30,63,3,23,1
132,634,31,63,3,23,1
133,636,31,63,3,23,1
134,642,31,63,3,23,1
135,645,31,63,3,23,1
136,649,32,63,3,23,1
137,654,32,63,3,23,1
138,656,32,63,3,23,1
139,660,32,63,3,23,1
140,663,32,63,3,23,1
141,670,32,63,3,23,1
142,672,32,63,3,23,1
143,678,33,63,3,23,1
144,680,33,63,3,23,1
145,682,33,63,3,23,1
146,686,33,63,3,23,1
147,688,33,63,3,23,1
148,690,33,63,3,23,1
149,692,33,63,3,23,1
150,695,34,63,3,23,1
151,696,34,63,3,23,1
152,697,34,63,3,23,1
153,697,34,63,3,23,1
154,698,34,63,3,23,1
